,MACRON,LE_PEN,MELENCHON,ZEMMOUR,PECRESSE,JADOT,ROUSSEL,HIDALGO,DUPONT_AIGNAN,AUTRE
pct_etrangers,-0.10453119369340419,-0.42188972579299433,0.6514597197064155,-0.04027659263281596,-0.1329889682891296,0.03170014308280453,-0.05200350684881315,-0.022282677974398032,-0.18538417347482417,-0.18242460443649894
pct_immigres,-0.08528051919655615,-0.4623900359559756,0.6879567902941772,-0.01791759933408387,-0.1367231323012184,0.05737096642711174,-0.06331639432638203,-0.02455370521668977,-0.20576056345971294,-0.22178992996835853
age_moyen,0.02847392917876987,0.037933083940926565,-0.3165257018864199,0.12761507835287547,0.1916364545298288,-0.12006165548217992,0.15068234787709714,0.11970247568167915,0.08430019973272795,0.354840610993191
pct_femmes,0.15450572305395338,-0.2029689571917311,0.14929874719013894,0.04884224798843585,-0.030340006444935348,0.13669022735785172,0.006782750048190293,0.04079331698610384,-0.12925013509545938,-0.19420759565877876
taille_menage_moy,-0.0036637779394514385,-0.003353146149256497,0.0120878527640478,-0.004732495103332405,-0.004947362954273945,-6.192608917181952e-05,0.0010797552432279204,-0.003946246481475762,-0.006276720491264554,-0.005220330869984163
pct_hors_menage,0.04576107598670234,-0.09451558441069349,0.08164496703068275,0.011304002825784918,-0.016507522908812505,0.04503928973604993,0.003911969544412093,0.02834305231642025,-0.055653678316658406,-0.05867066084349385
ecart_csp_plus_hf,0.19148375632488493,-0.18970510494464937,0.05404180997582843,0.07858821494989626,0.03736478215919331,0.2000626588750226,-0.05104944492396822,0.003958332493491418,-0.05450447726393225,-0.151604372093223
pct_0_19,-0.07000440914334821,0.10203752278084396,0.1959465482949816,-0.14689722709024788,-0.17247590041833644,-0.03869599860438441,-0.11769806819442127,-0.1360064968855552,-0.02790362169658305,-0.27136278186321905
pct_20_64,0.020431789036442844,-0.1240233338293927,0.1972001126469831,-0.02762071930374601,-0.10195206862618106,0.24406545459579915,-0.10993621963951189,-0.032259671108698124,-0.049149025229154444,-0.1894775495673801
pct_65_plus,0.033504149130568345,0.014040095413598977,-0.2635007124820975,0.11733689167163283,0.18415102756637444,-0.13677754393368663,0.1525946256182826,0.11309887046937844,0.05157875840503069,0.3091279440431716
pct_csp_agriculteur,-0.08279369801452471,0.09255400942928259,-0.20411643003221516,-0.04358894297412127,0.2182412532528608,-0.17130137846289084,0.014559096328267396,0.007761333439181962,0.11900650134683179,0.35062010507432007
pct_csp_independant,-0.005387102565532796,-0.0269836364492566,-0.08733988379970656,0.1063120048344323,0.054796462375274066,0.03434355285193165,-0.008708960925618554,0.008365542423954687,0.04800769086417247,0.14068523307745495
pct_csp_plus,0.4318745719995096,-0.5190226003655694,0.16136606438790319,0.15823834126531658,0.15995722069989698,0.5175896568414995,-0.1203732345249995,0.04263786957960068,-0.1656130705496827,-0.2782836608701156
pct_csp_intermediaire,0.13552236680267535,-0.09254239741593782,0.008220901244299967,0.04525219630691584,-0.04006920301321429,0.2532025178718165,-0.06740435655284775,0.005553476728196083,0.004364952027259417,-0.14992397114346323
pct_csp_employe,-0.17702413235676392,0.14786751299240053,0.1164424560666048,-0.0693194583913275,-0.199818948927929,-0.12179973452728018,0.007973555124128492,-0.05172177428398483,-0.015281687987895465,-0.07650808495564689
pct_csp_ouvrier,-0.2618924343900838,0.47434445337061576,-0.13904231321765073,-0.18392084702810554,-0.13347256070555075,-0.33711149382034955,-0.017983460707198272,-0.11383943642733717,0.1467922784724468,0.022298453744522648
pct_csp_retraite,0.01940767201129161,0.1162006078085775,-0.3007211041900021,0.03897515974587292,0.13470587358909933,-0.1496370113560234,0.13219880555672237,0.08640826761593925,0.09390639144438533,0.2723298360753963
pct_csp_sans_emploi,-0.13616656048456782,-0.17983139853041205,0.4672479004267418,-0.046456281575182896,-0.19101675630064824,-0.01090999497288873,-0.01012414005606436,-0.033034282377635366,-0.19177380279611797,-0.219875377117362
DISP_MED21,0.5478582604795618,-0.2643571346538883,-0.2866546381668754,0.2885233350861405,0.32708696381263014,0.40646558503791813,-0.1690760882396152,-0.02306835165146082,0.028508380485715523,-0.18675529211698944
DISP_TP6021,-0.38148166457640126,-0.07820057229127537,0.5371001779895179,-0.1640314271878163,-0.24273420657838005,-0.238949318776064,0.07680638649802705,-0.015402858630831327,-0.16654703466257365,-0.01654242199818813
DISP_GI21,0.3157228817284098,-0.5403699727193498,0.2138484014616855,0.2744045256470875,0.1793932100083262,0.36166060803655303,-0.09516349331683105,0.02475299651863848,-0.18031773682289814,-0.16738281525340853
DISP_RD21,0.31257480747089544,-0.5108394255544078,0.2832101997315752,0.22116348018106788,0.11614628289956153,0.3272739174570249,-0.10833751157457144,0.0030425908414007663,-0.2159755692659707,-0.2809703771667045
DISP_S80S2021,0.15379455666976194,-0.2813929198176856,-0.013410772876671683,0.21991518612505362,0.27286031312140535,0.12211564156375572,-0.08172306620196688,0.0007994508872534081,-0.03522245231351081,0.09313063406019331
DISP_PTSA21,0.23156078581072126,-0.25140547303841215,0.1970202043350631,-0.009156175580675378,-0.01719778957532125,0.33907401331928416,-0.14648094422101474,-0.05279886480637544,-0.08332736714665981,-0.33000043545517477
DISP_PPAT21,0.375084477236034,-0.20162203800022824,-0.2557215077704902,0.32480245214788594,0.2954145811679824,0.21458911518178073,-0.12043639734450207,-0.01713425967346854,0.02259810555911218,-0.037493922232411436
DISP_PPEN21,-0.01704365781462968,0.0896195308855472,-0.23085193833402928,0.0424783051433596,0.09083209376595178,-0.18009253386408589,0.18501693336276154,0.11635209553531499,0.04474295622534316,0.2600528599427809
DISP_PPSOC21,-0.4118543597091653,0.014271049981975004,0.49358064834458193,-0.2251312493395337,-0.2775626317959268,-0.287641216311453,0.09128629655949938,-0.0173560228169021,-0.14326477647966232,-0.0027535135623702727
DISP_PCHO21,-0.4134597127997265,-0.08320878803614601,0.5315444168103238,-0.14003532480398062,-0.205187869620922,-0.16988260485644605,0.003436460475175129,-0.04904617951425918,-0.11697864594852991,0.0047622442327653995
DISP_PPFAM21,-0.4345749865741733,0.12554667516935786,0.46461031764716115,-0.2841590904452102,-0.3006731327908103,-0.3733062883561633,0.04449171808380826,-0.08118693453073418,-0.09068441158355381,-0.04184745942576645
DISP_PPLOGT21,-0.3213285411327964,-0.10775582016254279,0.5482201843018186,-0.18456622414980056,-0.25858357689010986,-0.17618799929844825,0.06711420346546133,-0.0012092837029251974,-0.17974445335957162,-0.07914841108205976
DISP_PPMINI21,-0.34202540777133816,-0.043918801526548465,0.49434145713729316,-0.1857436331355689,-0.2650636875837771,-0.2205187283713531,0.09133848179687709,-0.002414342311364396,-0.16516722700491904,-0.05367275086732255
DISP_PIMPOT21,-0.5402679786822666,0.42689937579553555,0.1136741998048673,-0.32743639740577357,-0.33273791221051646,-0.46190763815455904,0.1755875549669626,0.013927450880487507,0.06508202329414911,0.22777117848756268
DISP_PACT21,0.2818999383650257,-0.30769967421076533,0.18000895405709827,0.055675495132636955,0.022834851519431494,0.3916547728232057,-0.15869905151552,-0.0484625385538688,-0.08625546541703627,-0.3361975675887561
pct_sup5,0.4492590690192989,-0.624183588379867,0.22379842579462006,0.19692054087037586,0.1934926460520422,0.5522541973068461,-0.12317504459152744,0.07093343740860898,-0.2132636308407637,-0.26231581420495265
pct_sans_diplome,-0.3488235365787457,0.3110349547017708,0.13625223930002114,-0.17261208082832935,-0.16149848745435358,-0.4753882065311331,0.05402698839888148,-0.11486863441611309,0.002565089923826859,0.009054831747559583
pct_capbep,-0.3006662021424672,0.64325200298003,-0.40578093667837406,-0.15330870422874898,-0.10331162745483047,-0.4401098627109783,0.0878033947168545,-0.060613103792874094,0.2539220006163329,0.24698337551853672
pct_bac_plus,0.468944968414725,-0.6281799671735449,0.1800135295710371,0.19513549655208012,0.17575906988558596,0.6215977702304859,-0.117519334859466,0.1018129514690323,-0.1725471698147168,-0.2288083494175014
pct_chomage,-0.29943814047136086,-0.057289734217097224,0.4663012500491944,-0.0876510957261129,-0.25587195119166994,-0.15495561373036723,0.08337150846424132,-0.014598673017794515,-0.1666028018896625,-0.13647030970408963
pct_cdi,0.17991861138221074,0.11093665883828402,-0.29396638720212487,0.11066593934269045,0.11512710932674644,0.03309040571800273,-0.04392997630536651,-0.06050287995335341,0.09837341838292447,-0.04235012997590175
pct_cdd,-0.16365271853557334,-0.14665461598418844,0.24968824233697964,-0.05772011208061881,-0.07169299623238481,-0.0016539790804695927,0.06084990098144523,0.07712307164705548,-0.08736789114463495,0.11026588095297367
pct_interim,-0.15377437465900612,0.14160950074183465,0.11702270133850558,-0.15504394669990124,-0.15435040667896371,-0.15800416574858495,0.012622980728293353,-0.025274817754896987,-0.0032373317343907916,-0.06185590783735212
pct_temps_partiel,-0.1635551980318375,-0.07576238067299693,0.13074053052929435,-0.08561124859904182,-0.058694673224868675,-0.022352661642053056,0.05740274221537973,0.09740479965509916,0.034186596687255814,0.20464713530616843
pct_inactif,-0.16154094781084927,-0.08686180797429535,0.3205965017201938,-0.05192059431307786,-0.15386733855825718,-0.12286691554103517,0.08786467851314247,0.013024970650287914,-0.1482813796597605,-0.07119202282606842
pct_etudiants,0.16546993764246387,-0.33425017394374773,0.3183470897690539,0.01257874075342648,-0.034025691820601084,0.24871617914298405,-0.07411071614328466,0.01605176631073101,-0.19673791232948223,-0.27252082472478983
pct_actifs_voiture,-0.15479595538933383,0.4983755974359291,-0.4443455999674204,-0.035754460645482364,-0.061392434888541084,-0.25459171992187546,0.07593660820147446,-0.004430824820769501,0.205460877917786,0.235028090132253
pct_actifs_transports,0.13400313918852563,-0.5351495236262995,0.5832533696660849,0.010083613834324039,-0.01210262480218142,0.2577469077849655,-0.09524344899298012,-0.03222826346878279,-0.2460000799961958,-0.35106053291117173
pct_actifs_velo,0.20821379087416636,-0.39838935804249176,0.2834018328726969,0.00304441669869129,-0.005860654375527687,0.36816947587655857,-0.04738589280823949,0.08669802215538161,-0.17957234482698733,-0.2159940654386408
pct_actifs_2roues,0.10310008011148954,-0.14565660303964528,0.0652715678838721,0.1451573118894911,0.04344187699140792,0.09665284180828168,-0.047041999705942646,-0.02743161997633015,-0.0637936363824105,-0.12255898391631045
pct_actifs_marche,0.08430346057419694,-0.25915173746986025,0.18579117779934565,0.055042377074410995,0.07562490311629706,0.11165350584422842,-0.028673321471927735,0.022944572050260664,-0.11390652460201767,-0.07040472755386193
pct_proprietaires,0.011762333400008446,0.4085887442763101,-0.6105786598063683,0.03400055903334998,0.16061658828789271,-0.1430376134306748,0.030784944649028555,-0.01126002317267389,0.26983469764033574,0.31314183516171124
pct_locataires,-0.004361708461444371,-0.3987931144282328,0.6133494071897806,-0.052846683570672126,-0.17123877575153562,0.14279781968985308,-0.033503593097171595,0.010035648835076232,-0.2703917095498913,-0.3340196554819058
pct_hlm,-0.11875760509356025,-0.22769721893145273,0.5765749042365079,-0.16278846636413613,-0.22573848627065116,-0.04149596176683046,0.0077741605596766145,-0.037769643726185465,-0.20408642240613364,-0.27334317457494034
pct_logvac,-0.1045361521185399,0.10673430874132776,-0.07042756326036403,-0.01209569218018336,0.07730977540838975,-0.14054465986261275,0.035707800798731586,-0.004553480634744037,0.045952066402428084,0.09455694899963124
pct_maison,-0.12607797854166064,0.5355868731255626,-0.5675537999653213,-0.08513292316531453,0.05473311957518602,-0.2758390576529447,0.09397796213956337,-0.0022795473705844414,0.2548875490996479,0.3431916125539729
pct_appart,0.12896265446846664,-0.5346532937292016,0.5637160278440922,0.08684390005993511,-0.05322374711601284,0.2776149703444645,-0.09451099634649511,0.0022506900063008206,-0.2541018613929026,-0.3444223155441338
pct_petits_logements,0.13070796789464492,-0.4788722568470819,0.43865356432975067,0.07222077543221317,-0.004572397402324206,0.3115453881192215,-0.05895467013521383,0.035043607113319664,-0.2280909286148085,-0.25062364249474567
pct_grands_logements,0.08410139049799287,0.2701518891981457,-0.5273234131972486,0.06531110078174784,0.18149726490165607,-0.06662493314462853,-0.08673742275377228,0.0012902392136334845,0.24813323007146418,0.29874229744831327
pct_logements_anciens,-0.12459306996933889,0.1373685102736027,-0.2604903582606044,0.019111735722160846,0.20240300743275547,-0.11297157477303002,0.04316036918141057,0.017934606340880392,0.15566341186226323,0.3527304690474743
pct_logements_recents,0.02283068638589729,0.021473829636533694,-0.031087849580466082,-0.04715247049515946,-0.10927491928402626,0.08140307905785871,-0.03586721575530355,0.05024631756751774,0.03524148245886662,0.03744284746829188
pct_voiture_0,0.05683760601092541,-0.45492105585738163,0.5654603962795589,-0.017815114204626295,-0.07479512852129788,0.19495898366120704,-0.03668237684109966,0.013533255185600085,-0.27391637761695425,-0.30133766781558224
pct_voiture_2plus,-0.042920909728774034,0.4591425177197457,-0.5512830909219909,-0.01049105742726349,0.052201587759536566,-0.15796413480820815,-0.0048397571627105205,-0.02661394620362,0.26899552707966656,0.2704807819795832
surface_moyenne,-0.005833035514261833,0.43752033698965137,-0.5890995670070587,-0.0043334293017796045,0.11666405431500035,-0.19335809434791945,-0.019980094827562397,-0.004781734121757621,0.2782903858112246,0.32184754169068214
pct_suroccupation,0.041883000869742844,-0.29303185278805527,0.3350417847629116,0.030384456883438177,-0.01835811301894786,0.12132421117394027,-0.044815428114220665,-0.016510560569666023,-0.14145420604186038,-0.17721519216714876
pct_chauffage_elec,0.11418393507065544,-0.10231452558081315,-0.025851382996294914,0.18349008488706336,-0.040242026111810617,0.1769496168337678,-0.021106592808476113,0.04372977094065057,-0.08888044337955509,-0.06283017885128603
pct_chauffage_fioul,-0.04588189372134685,0.3809492756718757,-0.44951839655589537,-2.977121335512832e-05,0.18617272134969975,-0.21770871783279722,-0.06415677384277077,-0.08060219561519734,0.26918558679007565,0.19102008766065678
pct_chauffage_gaz_ville,0.15860715751961074,-0.39316748012457853,0.4941046727379735,-0.033985247702182565,-0.1289843368879661,0.18760971729238948,-0.009072973598853756,-0.003466299608412403,-0.2656100995308645,-0.4117841121832126
pct_chauffage_gaz_bouteille,-0.09415204230759557,0.176482947277255,-0.23842242572951616,0.004164729275746017,0.05966568254915325,-0.10773245527734004,0.03808840125974406,0.013308344916408582,0.10072161449295852,0.27684496476890014
pct_chauffage_autre,-0.2668370380593369,0.38806607228019735,-0.3842765728971572,-0.0924379065475078,0.09883324851566452,-0.2589790854640385,0.057647137022494424,0.013559619736047496,0.27336888435999707,0.47220711796751275
pct_garage,0.08933911095803161,0.3441179035018695,-0.5231183126049661,0.00866574126779079,0.10428488635487342,-0.08105483268464492,-0.027223869220718663,-0.008841111106273475,0.2500514318332007,0.1751053256583851
nb_pieces_moyen,-0.01519681843836495,0.46956352788944355,-0.5728794328489685,-0.060412666102782626,0.10892994692804481,-0.23261993745163512,0.003501145108788715,-0.025228897796870313,0.25667448668673243,0.2918790046612859
pct_studios,0.1531786682152857,-0.4502454931196471,0.3903506021568095,0.06548126484312995,0.013888160476384609,0.2975653241035314,-0.07134546875820322,0.03563003382053095,-0.20456220632654853,-0.2445398454918219
pct_logements_5p_plus,0.03712655660944692,0.44670118737665365,-0.5799035303605924,-0.0647402731437976,0.11707674102898642,-0.18382152186507908,-0.01559125571056711,-0.020203475823179252,0.2523194015535904,0.2536914650968763
bpe_total_pour1000,0.025414380157314575,-0.183657898030528,0.060164716365262626,0.1352520637309651,0.0538442282414006,0.08074202734513214,0.007224045987261519,0.057891696175318134,-0.05563350001957627,0.0809736531850301
bpe_A_services_pour1000,-0.06672226214592827,-0.039705895230188304,-0.05031458485667269,0.1630964864447175,0.07017523414132187,-0.0023532670081185094,-0.00980093999696505,0.010583096488055548,0.027881580758390277,0.16043656999979833
bpe_B_commerces_pour1000,0.13028342295208167,-0.1868371288615097,0.08230190720312504,0.1100495091568252,0.040861311043092784,0.11188377994877224,-0.034124952761235304,0.015214282758069403,-0.08953488094329273,-0.09708293600635116
bpe_C_enseignement_pour1000,-0.012216677622566431,-0.02414486752012003,0.030822959682875854,-0.01845481997763958,-0.026322710376885106,0.005524090790721279,0.02352328330146154,0.04491488745249418,-0.02404294062811742,0.02009671416649074
bpe_D_sante_pour1000,0.17665407650488824,-0.26281294737678124,0.15892923215629465,0.094412161279389,-0.00614819898726288,0.18039871536562158,-0.014546179839861185,0.06726600266532029,-0.15000055686849173,-0.17428579618552553
bpe_E_transports_pour1000,-0.041671371036810734,-0.27071493794672796,0.4217373144531908,0.024978063982452378,-0.058155299570154764,0.019458724940449736,-0.04955107346237936,-0.08744816719782274,-0.1345516872979089,-0.19427832391293087
bpe_F_sports_culture_pour1000,-0.11789179957021058,0.032932484092671514,-0.0945317620120549,-0.034016449941429466,0.038316873361326345,-0.062397603009948475,0.0919516023200032,0.0836468327597225,0.07045132385371458,0.3067788993168263
bpe_G_tourisme_pour1000,0.04467801812933539,-0.13173173042115177,0.0015422380495105116,0.07322348834672948,0.07679385681627897,0.06281013231704442,0.013089140476754945,0.024386122746950595,-0.022362394859725375,0.10096120107309531
bpe_educ_prioritaire_pour1000,-0.17844072990389134,-0.05770080926133179,0.3620765063667789,-0.11405908430944028,-0.17564832025630303,-0.12612448437990043,0.029402451661960306,-0.05511338708409226,-0.12573147434864312,-0.1175180510290673
bpe_ecole_privee_pour1000,0.16744631900254042,-0.16821879833510905,0.05363609033832264,0.034295346126285604,0.043503536679501326,0.1368172892495626,-0.036038066802979954,0.02479845121359067,-0.07181515163054954,-0.10305515703970351
bpe_sport_indoor_pour1000,0.0394387177785707,-0.008294031033880628,-0.018529661951217368,-0.03518198810197384,-0.027621574986604974,-0.006103935322919938,0.02744027788779288,0.03935047352263414,-0.023530998380967998,0.03387296633009687
pct_sport_accessible,0.043920885719330297,0.034278476323470544,0.0008638830623030787,-0.030868668935450486,-0.0635241096433962,-0.013299814367128023,-0.028371834839321545,0.0033639759443369176,-0.007063125330969615,-0.0768368491614561
