,LE_PEN,MACRON,MELENCHON,ZEMMOUR,AUTRE,PECRESSE
pct_etrangers,-0.7881578854057628,1.7772182087974793,-1.979847495606355,-0.6906841056559088,0.33496880018745445,0.36377959670560867
pct_immigres,-2.7079073904720476,-1.487820742877909,5.058885316156379,0.4283348972071958,-0.03677348993394858,-0.3398662135986389
age_moyen,-2.7114575962052725,0.012297658531117417,0.26325656067993614,-0.0520721911116363,1.3185896044340013,0.08116639264720138
pct_femmes,0.4276539093616776,-0.09654834836210685,-0.35108727363167297,-0.03270648605735694,0.0599876487347751,-0.02706798238284166
taille_menage_moy,0.05372323281820407,-0.004623881054772475,0.014927105844120062,-0.02359289155535459,-0.005801629128815456,0.0008803244442259269
pct_hors_menage,-0.2589425286588465,0.35399521649114496,-0.21585646102689443,-0.08899529670263578,0.030816611891852586,0.0029693381264691565
ecart_csp_plus_hf,0.2159796426041789,0.09001256796711476,-0.3131330225358918,0.12739987118771234,-0.09912103883082547,0.02781135623462694
pct_0_19,856134113053.5854,-1479225236358.984,574887565117.584,270146951901.94385,228513245072.735,-329097765612.96936
pct_20_64,848307075913.0571,-1465701711611.5537,569631769027.8135,267677186716.57642,226424107834.47546,-326089054249.90784
pct_65_plus,1271506145482.4102,-2196903440598.712,853806735257.25,401214604451.645,339381401818.728,-488766683935.3093
pct_csp_agriculteur,17.337141969552018,-4.690776627635759,-21.962248162377314,6.534265507741077,4.90803274636955,1.5207818130423711
pct_csp_independant,14.28107526350992,-4.508153287999435,-16.453606855365653,5.319483483514387,3.3171775274453865,0.7715436513967541
pct_csp_plus,31.62956827197671,-9.74084113487244,-36.32040563269144,11.282137628219868,7.198144162498113,1.5701592931666573
pct_csp_intermediaire,26.55449711398042,-8.897328514427432,-29.41480482888153,9.497348323306152,5.846396773150351,1.1718657014088465
pct_csp_employe,25.064214215280614,-8.126433318385617,-28.013404999157817,8.970757521083126,5.592229447919553,1.1719894041807832
pct_csp_ouvrier,31.025407851225644,-9.266295832392654,-35.25769369115579,10.791229673767386,6.795145412046372,1.6017049128147978
pct_csp_retraite,46.75091294105093,-14.157098667393718,-53.30199520431201,16.55058670466871,10.485850987715793,2.232872982801352
pct_csp_sans_emploi,33.490606911188095,-11.482906831376159,-36.587136561097736,11.764954574946096,7.431432835248705,1.4383461275951062
DISP_MED21,0.531441290526396,1.0047730208226626,-2.049871360662748,0.2900524938236546,-0.270003019149462,0.5776390048743736
DISP_TP6021,3.474832279521576,-2.2095524884030597,-1.4545222647096256,0.6072049766256811,0.15118479558547762,-0.15511861146162848
DISP_GI21,-0.8669239414309706,0.4247060199530226,0.3673518514408129,-0.11208159732432499,-0.15981405222528955,0.1257608350981367
DISP_RD21,0.164106103813505,0.4078490420331713,-0.28766260827716494,0.09240626991061374,-0.13492616865851986,-0.10461422192457914
DISP_S80S2021,0.20041734283266638,-0.12703480078516305,-0.2312960646958933,0.004963002952558915,0.23270155235960416,-0.003272542900347175
DISP_PTSA21,-0.1463418590561516,0.6043864801813255,-0.7844465755350227,-0.3847375355899527,0.22242237914635565,0.2747348752275194
DISP_PPAT21,-0.2066110745019793,0.17956430509261873,0.00837684240990097,0.16608611599130052,0.005681462659671219,-0.02519257762163224
DISP_PPEN21,-1.140653208202819,0.8549054175388586,-0.6541575954914585,-0.05351891638708661,0.4018771302688503,0.27623016773216014
DISP_PPSOC21,0.860156286447955,-0.7940001390226474,-1.8561715755095416,0.643095953627154,1.2096496394978966,0.43926922811707536
DISP_PCHO21,0.10897826418793954,-0.8237593822295667,1.0146168624544707,0.04857742007839072,-0.026192226105099237,-0.09465784831616299
DISP_PPFAM21,-1.9586445770384415,0.32522339296298175,3.261477095087759,-0.4656050246087105,-0.5478742346074443,-0.10619213778036803
DISP_PPLOGT21,-2.323762074380198,2.0889272599106405,0.7967254133342105,-0.5866352574394897,-0.6631565615425763,0.19211102093584548
DISP_PPMINI21,-0.0015548160711535974,0.48429323003441116,-0.256332899079454,-0.09213466837310616,-0.1771156972385858,-0.13637228692742204
DISP_PIMPOT21,-1.0181618176169245,-0.6608048850740662,2.255271276350772,-1.0409955383881246,0.41107199103319014,-0.9304109409308068
DISP_PACT21,-0.5623657013287605,-0.3637997598128454,1.0121508885183925,0.08849907359552095,0.15070197221735807,-0.5135240610910545
pct_sup5,2.547779849543327,-0.4943824536562371,-1.929448218691306,0.09581590857342992,0.30984502557439964,0.1419623967136706
pct_sans_diplome,0.7662765827406492,0.8271832522745111,-0.10205888572526045,-0.3997651703754262,-0.5891837110970016,-0.07730146720870804
pct_capbep,0.7466915898414601,0.8859498270306192,-0.8360037034838339,-0.5263871689607109,-0.20692663118702914,-0.2188305774448968
pct_bac_plus,-6.542218623486239,2.7802151921486713,4.255676881367046,-1.1928000747901213,-0.6973832101613685,-0.42604314219373673
pct_chomage,0.9031933079866256,-0.9855341042483571,0.2517379887777743,0.1980638726963941,-0.11591934102626375,-0.21712025271011476
pct_cdi,-0.1923243881517267,-0.6282652509817255,0.8318670393831216,0.08748818965872068,0.045784691844948294,-0.22804939712446995
pct_cdd,-0.5403657073359824,-0.6569910800130465,1.1236323822169774,-0.09756050748854078,0.10781805424754165,-0.23291555311344048
pct_interim,-0.637801262666743,0.2236296614955262,0.42950057707248235,-0.1219402842838642,-0.015084282196110424,-0.08409407524755474
pct_temps_partiel,-1.1220073862150346,-0.05194940699132056,1.0979742374257446,-0.18514007749360048,0.01189536665697341,-0.24915323969247705
pct_inactif,-0.1323581020427509,-0.25650193622720213,0.6331496771845888,0.13316840530172075,-0.2621156437790683,-0.08185953512759708
pct_etudiants,-0.6974780871893281,0.2622069392804591,0.49167808056679885,-0.14910456457504395,0.11402180538233639,0.024648509954750958
pct_actifs_voiture,0.9926446582230682,-0.25151397799309977,-0.5958159099929917,0.06736469910931324,0.08551111399276375,-0.2166775860445061
pct_actifs_transports,-0.8811701500526297,-0.35597919641666165,1.369130534454308,-0.08761955477798336,-0.09854171009033134,0.14926869832458273
pct_actifs_velo,-0.6375826645501106,-0.16082010299037963,0.8789857955013796,-0.2349859891584471,-0.05262213783979458,-0.15519437419789817
pct_actifs_2roues,0.3204223015191881,0.12882602931750475,-0.7357529708419722,0.3940159624761004,0.007221400275107787,-0.035461518354881594
pct_actifs_marche,-0.12288706144219261,0.17460828850017507,-0.06288250643963034,0.0674587741590956,-0.1318508510695353,0.1642181874153001
pct_proprietaires,-4.9156894138021485,4.310458491728524,2.822617210856026,-2.2835047667731887,-1.0821676340322932,0.33146884634488094
pct_locataires,-5.179828640456181,4.815686232708851,2.033453711291583,-2.1603966787966264,-0.6289253643799475,0.581588925704575
pct_hlm,-0.706303383291259,0.26273540866641953,0.6170034383854692,-0.3690416699203743,-0.19788173308203671,-0.007767365009698296
pct_logvac,0.12158869306211098,-0.2127614687678338,-0.2638499624648126,-0.01021401130558175,0.10973492360265119,0.15431028529718332
pct_maison,-2.5011477985131303,0.46621791013910663,1.213000126479555,-0.6828191347545581,0.6548945895421768,-0.07256050006723358
pct_appart,-3.1352330724895863,1.178082423661576,0.2840424012156353,0.14763571074959947,0.8355735029485459,0.2112177405420576
pct_petits_logements,-1.5745669903842752,-0.38290429938274295,1.5939867109670602,-0.3004035302615816,0.4126087774297955,-0.04485846830883522
pct_grands_logements,-0.724170807962782,1.2090137139824941,-0.7940282006647174,0.2884086163057728,-0.24610929397486253,0.3383841706975225
pct_logements_anciens,-0.5175572441727344,-0.3910816700033335,0.7892304105675212,-0.13696075144230457,0.0039234948612333065,0.059772957335736676
pct_logements_recents,-0.3771822662361116,0.2071013148413826,0.2294777025949596,-0.19442965201685397,0.13104336161616176,-0.043507332960322644
pct_voiture_0,0.7754698251630323,0.06246579584847689,0.13282714551472385,-0.5559793191592262,-0.0827322043627013,-0.6229708032293273
pct_voiture_2plus,1.7111497631912358,-2.007058925447248,-0.2650420404115268,0.8161132699479985,0.010714068722897152,-0.256163000093136
surface_moyenne,-0.5134884684347121,-1.9459617343816067,0.9439240417180708,0.7570199736846166,1.8759085436987726,-0.590018959602973
pct_suroccupation,-0.265716965374532,-0.054336142716419455,0.5164728913780896,-0.07962315682868676,-0.08037187427450729,-0.025339099923516253
pct_chauffage_elec,2.3910109140509954,0.6520070488848267,-1.9725412474423583,-0.7279254124450465,0.3262770263578494,-0.12453355235795377
pct_chauffage_fioul,1.8859453571391773,0.82303671174494,-1.8118595929884582,-0.48319331106831437,-0.13638852275486157,0.2129955576983363
pct_chauffage_gaz_ville,4.07239907448963,1.4317579781712237,-3.4905793677959323,-1.5941808065509837,0.5525857007288906,-0.11081056468814354
pct_chauffage_gaz_bouteille,0.049910103485254154,0.1268663935812845,-0.21835869500226684,-0.1717094547994189,0.28076409209105446,-0.014825267010685789
pct_chauffage_autre,2.7793364739531885,0.39724110369042354,-2.450238683115021,-1.4737307306282232,1.062560030610027,0.08733875192107526
pct_garage,0.20730696161138096,0.5199578503157193,-0.5422504069603715,-0.2513466637899879,-0.181422657489558,0.148615514537075
nb_pieces_moyen,-1.3688368254443781,0.19348527572913854,1.4594149373755023,-1.201453735434112,0.24685564762699064,0.4596668243069155
pct_studios,0.8027734520402371,0.20344134664512414,-1.234384940975907,0.22118015606289504,0.011647773165368414,0.23398497517487668
pct_logements_5p_plus,0.6975555454929578,2.7505483406394617,-1.8563412624046065,-0.4906362989501093,-0.8364681192480836,-0.08996194659763307
bpe_total_pour1000,-0.3711663378572686,0.24359199638808282,0.3204451434451947,-0.0867282973030209,-0.08887155825918183,-0.1263217183599339
bpe_A_services_pour1000,0.9624731723860893,-0.625770984589179,-0.8429175682188805,0.447300552139655,0.08076312232826965,0.057509496494956444
bpe_B_commerces_pour1000,-0.36374270922948027,0.4724628634965071,0.13576730674659956,-0.1579228929349772,-0.1084886899066029,0.10665478318189317
bpe_C_enseignement_pour1000,0.04444752895203219,-0.3382331403771296,0.18784677494461954,-0.030307025215239203,0.11218096454444795,-0.03539136909178497
bpe_D_sante_pour1000,0.049257080008401344,-0.06818648736892086,-0.07897971994679465,-0.012704177049817245,0.09684575981273014,0.011662123198612345
bpe_E_transports_pour1000,-0.316378249587716,-0.25089972867938914,0.9300189311035134,-0.04551716989239771,-0.07318602336170946,0.02177350282791736
bpe_F_sports_culture_pour1000,-0.32010366456471573,-0.3809166958652672,0.34106052620711846,-0.14302670330436967,0.45475329246209995,-0.00791460808464109
bpe_G_tourisme_pour1000,-0.4872226857630262,0.6105015518818817,-0.20205550692925134,-0.17087121374093994,0.10693605121780429,0.0833975997885778
bpe_educ_prioritaire_pour1000,-0.08960398004696107,-0.1487043543090373,0.5094811924555779,-0.07984789625350956,-0.059216415501970064,-0.0772261534760255
bpe_ecole_privee_pour1000,-0.3441654805611849,0.381818551871683,-0.09435353049571149,0.0017587160220049435,-0.031166121766230584,0.08498208887502116
bpe_sport_indoor_pour1000,-0.04745710382988766,0.19783731116099645,-0.04925102808648241,-0.07473899545599505,-0.003246975604068475,0.00936048909505341
pct_sport_accessible,-0.06946219588885091,0.02661424728942549,-0.010994248128088135,-0.0057425478859172915,0.045598686404800325,-0.025481949387856598
