"NATURE_ZONAGE","COM_COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"COM","93619","0","STORA","Stora","Stora","1943-01-01","1962-07-05"
"COM","93701","0","BIBANS (COMMUNE MIXTE)","Bibans (commune mixte)","Bibans (commune mixte)","1943-01-01","1962-07-05"
"COM","93702","0","DES EULMA (COMMUNE MIXTE)","Des-Eulma (commune mixte)","Des-Eulma (commune mixte)","1943-01-01","1962-07-05"
"COM","93703","0","DES MAADID (COMMUNE MIXTE)","Des-Maadid (commune mixte)","Des-Maadid (commune mixte)","1943-01-01","1962-07-05"
"COM","93704","0","M SILA (COMMUNE MIXTE)","M’Sila (commune mixte)","M’Sila (commune mixte)","1943-01-01","1962-07-05"
"COM","93705","0","RHIRA (COMMUNE MIXTE)","Rhira (commune mixte)","Rhira (commune mixte)","1943-01-01","1962-07-05"
"COM","93706","0","TAKITOUNT (COMMUNE MIXTE)","Takitount (commune mixte)","Takitount (commune mixte)","1943-01-01","1962-07-05"
"COM","93710","0","SETIF","Sétif","Sétif","1943-01-01","1962-07-05"
"COM","93711","0","AIN ABESSA","Aïn-Abessa","Aïn-Abessa","1943-01-01","1962-07-05"
"COM","93712","0","AIN ROUA","Aïn-Roua","Aïn-Roua","1943-01-01","1962-07-05"
"COM","93713","0","AIN TAGROUT","Aïn-Tagrout","Aïn-Tagrout","1943-01-01","1962-07-05"
"COM","93714","0","AMPERE","Ampère","Ampère","1943-01-01","1962-07-05"
"COM","93715","0","BORDJ BOU ARRERIDJ","Bordj-Bou-Arréridj","Bordj-Bou-Arréridj","1943-01-01","1962-07-05"
"COM","93716","0","COLBERT","Colbert","Colbert","1943-01-01","1962-07-05"
"COM","93717","0","COLIGNY","Coligny","Coligny","1943-01-01","1962-07-05"
"COM","93718","0","EL OURICIA","El-Ouricia","El-Ouricia","1943-01-01","1962-07-05"
"COM","93719","0","SAINT ARNAUD","Saint-Arnaud","Saint-Arnaud","1943-01-01","1962-07-05"
"COM","93720","0","TOCQUEVILLE","Tocqueville","Tocqueville","1943-01-01","1962-07-05"
"COM","93721","0","KERRATA","Kerrata","Kerrata","1949-01-15","1962-07-05"
"COM","94101","1","AIN SEFRA (COMMUNE MIXTE)","Aïn-Sefra (commune mixte)","Aïn-Sefra (commune mixte)","1943-01-01","1962-07-05"
"COM","94102","0","MECHERIA (COMMUNE MIXTE)","Mécheria (commune mixte)","Mécheria (commune mixte)","1943-01-01","1962-07-05"
"COM","94103","0","GERYVILLE (COMMUNE MIXTE)","Géryville (commune mixte)","Géryville (commune mixte)","1943-01-01","1962-07-05"
"COM","94104","0","COLOMB BECHAR (COMMUNE MIXTE)","Colomb-Béchar (commune mixte)","Colomb-Béchar (commune mixte)","1943-01-01","1962-07-05"
"COM","94105","0","BREZINA EL ABIODH (COMMUNE MIXTE)","Brezina-El-Abiodh (commune mixte)","Brezina-El-Abiodh (commune mixte)","1958-12-12","1962-07-05"
"COM","94191","0","LA SAOURA","La-Saoura","La-Saoura","1943-01-01","1949-09-05"
"COM","94191","0","TINDOUF","Tindouf","Tindouf","1949-09-05","1962-07-05"
"COM","94192","0","TOUAT","Touat","Touat","1943-01-01","1962-07-05"
"COM","94193","0","GOURARA","Gourara","Gourara","1943-01-01","1962-07-05"
"COM","94194","0","LA SAOURA","La-Saoura","La-Saoura","1949-09-05","1962-07-05"
"COM","94201","0","DJELFA (COMMUNE MIXTE)","Djelfa (commune mixte)","Djelfa (commune mixte)","1943-01-01","1962-07-05"
"COM","94202","0","LAGHOUAT (COMMUNE MIXTE)","Laghouat (commune mixte)","Laghouat (commune mixte)","1943-01-01","1962-07-05"
"COM","94291","0","GHARDAIA","Ghardaïa","Ghardaïa","1943-01-01","1962-07-05"
"COM","94292","0","EL GOLEA","El-Goléa","El-Goléa","1943-01-01","1962-07-05"
"COM","94301","0","TOUGGOURT (COMMUNE MIXTE)","Touggourt (commune mixte)","Touggourt (commune mixte)","1943-01-01","1962-07-05"
"COM","94302","0","BISKRA (COMMUNE MIXTE)","Biskra (commune mixte)","Biskra (commune mixte)","1943-01-01","1962-07-05"
"COM","94303","0","EL OUED (COMMUNE MIXTE)","El-Oued (commune mixte)","El-Oued (commune mixte)","1943-01-01","1962-07-05"
"COM","94304","0","OULED DJELLAL (COMMUNE MIXTE)","Ouled-Djellal (commune mixte)","Ouled-Djellal (commune mixte)","1943-01-01","1962-07-05"
"COM","94491","0","OUARGLA","Ouargla","Ouargla","1943-01-01","1962-07-05"
"COM","94492","0","TIDIKELT","Tidikelt","Tidikelt","1943-01-01","1962-07-05"
"COM","94493","0","AJJER","Ajjer","Ajjer","1943-01-01","1962-07-05"
"COM","94494","0","HOGGAR","Hoggar","Hoggar","1943-01-01","1962-07-05"
"COM","95101","0","CASABLANCA","Casablanca","Casablanca","1943-01-01","1956-03-02"
"COM","95110","0","CHAOUIA NORD","Chaouïa-Nord","Chaouïa-Nord","1943-01-01","1956-03-02"
"COM","95112","0","BERRECHID","Berrechid","Berrechid","1943-01-01","1956-03-02"
"COM","95113","0","BOUCHERON","Boucheron","Boucheron","1943-01-01","1956-03-02"
"COM","95114","0","BOULHAUT","Boulhaut","Boulhaut","1943-01-01","1956-03-02"
"COM","95116","0","FEDALA","Fédala","Fédala","1943-01-01","1956-03-02"
"COM","95120","0","CHAOUIA SUD","Chaouïa-Sud","Chaouïa-Sud","1943-01-01","1956-03-02"
"COM","95122","0","SETTAT","Settat","Settat","1943-01-01","1956-03-02"
"COM","95123","0","BENAHMED","Benahmed","Benahmed","1943-01-01","1956-03-02"
"COM","95124","0","EL BOROUJ","El-Borouj","El-Borouj","1943-01-01","1956-03-02"
"COM","95125","0","OULAD SAID","Oulad-Saïd","Oulad-Saïd","1943-01-01","1956-03-02"
"COM","95131","0","OUED ZEM","Oued-Zem","Oued-Zem","1943-01-01","1956-03-02"
"COM","95132","0","KHOURIBGA","Khouribga","Khouribga","1943-01-01","1956-03-02"
"COM","95133","0","DAR OULD ZIDOUH","Dar-Ould-Zidouh","Dar-Ould-Zidouh","1943-01-01","1956-03-02"
"COM","95134","0","KASBA TADLA","Kasba-Tadla","Kasba-Tadla","1943-01-01","1956-03-02"
"COM","95135","0","BOUJAD","Boujad","Boujad","1943-01-01","1956-03-02"
"COM","95136","0","BENI MELLAL","Beni-Mellal","Beni-Mellal","1943-01-01","1956-03-02"
"COM","95142","0","MAZAGAN","Mazagan","Mazagan","1943-01-01","1956-03-02"
"COM","95144","0","AZEMMOUR","Azemmour","Azemmour","1943-01-01","1956-03-02"
"COM","95145","0","SIDI BENNOUR","Sidi-Bennour","Sidi-Bennour","1943-01-01","1956-03-02"
"COM","95201","0","FES","Fès","Fès","1943-01-01","1956-03-02"
"COM","95211","0","FES BANLIEUE","Fès-Banlieue","Fès-Banlieue","1943-01-01","1956-03-02"
"COM","95212","0","KARIA BA MOHAMMED","Karia-Ba-Mohammed","Karia-Ba-Mohammed","1943-01-01","1956-03-02"
"COM","95213","0","EL KELAA DES SLES","El-Kelaa-des-Slès","El-Kelaa-des-Slès","1943-01-01","1956-03-02"
"COM","95214","0","TISSA","Tissa","Tissa","1943-01-01","1956-03-02"
"COM","95222","0","SEFROU","Séfrou","Séfrou","1943-01-01","1956-03-02"
"COM","95223","0","AHERMOUMOU","Ahermoumou","Ahermoumou","1943-01-01","1956-03-02"
"COM","95224","0","BOULEMANE","Boulemane","Boulemane","1943-01-01","1956-03-02"
"COM","95226","0","IMMOUZER DES MARMOUCHA","Immouzer-des-Marmoucha","Immouzer-des-Marmoucha","1943-01-01","1956-03-02"
"COM","95230","0","HAUT OUERRHA","Haut-Ouerrha","Haut-Ouerrha","1943-01-01","1956-03-02"
"COM","95231","0","TAOUNATE","Taounate","Taounate","1943-01-01","1956-03-02"
"COM","95232","0","LE TLETA DES BENI OULID","Le Tléta-des-Béni-Oulid","Le Tléta-des-Béni-Oulid","1943-01-01","1956-03-02"
"COM","95240","0","MOYEN OUERRHA","Moyen-Ouerrha","Moyen-Ouerrha","1943-01-01","1956-03-02"
"COM","95241","0","RAFSAI","Rafsaï","Rafsaï","1943-01-01","1956-03-02"
"COM","95242","0","TAFRANNT DE L OUERRHA","Tafrannt-de-l’Ouerrha","Tafrannt-de-l’Ouerrha","1943-01-01","1956-03-02"
"COM","95262","0","TAZA","Taza","Taza","1943-01-01","1956-03-02"
"COM","95263","0","MERHAOUA","Merhaoua","Merhaoua","1943-01-01","1956-03-02"
"COM","95264","0","TAHAIA","Tahaïa","Tahaïa","1943-01-01","1956-03-02"
"COM","95271","0","GUERCIF","Guercif","Guercif","1943-01-01","1956-03-02"
"COM","95272","0","BERKINE","Berkine","Berkine","1943-01-01","1956-03-02"
"COM","95273","0","MISSOUR","Missour","Missour","1943-01-01","1956-03-02"
"COM","95274","0","OUTAT OULAD EL HAJ","Outat-Oulad-El-Haj","Outat-Oulad-El-Haj","1943-01-01","1956-03-02"
"COM","95276","0","SAKA","Saka","Saka","1943-01-01","1956-03-02"
"COM","95280","0","HAUT LEBEN","Haut-Leben","Haut-Leben","1943-01-01","1956-03-02"
"COM","95281","0","TAINESTE","Taïneste","Taïneste","1943-01-01","1956-03-02"
"COM","95282","0","BAB EL MROUJ","Bab-el-Mrouj","Bab-el-Mrouj","1943-01-01","1956-03-02"
"COM","95283","0","KEF EL RHAR","Kef-el-Rhar","Kef-el-Rhar","1943-01-01","1956-03-02"
"COM","95284","0","TAHAR SOUK","Tahar-Souk","Tahar-Souk","1943-01-01","1956-03-02"
"COM","95285","0","BENI LENNT","Beni-Lennt","Beni-Lennt","1943-01-01","1956-03-02"
"COM","95290","0","HAUT MSOUN","Haut-Msoun","Haut-Msoun","1943-01-01","1956-03-02"
"COM","95291","0","AKNOUL","Aknoul","Aknoul","1943-01-01","1956-03-02"
"COM","95292","0","MEZGUITEM","Mezguitem","Mezguitem","1943-01-01","1956-03-02"
"COM","95301","0","MARRAKECH","Marrakech","Marrakech","1943-01-01","1956-03-02"
"COM","95311","0","MARRAKECH BANLIEUE","Marrakech-Banlieue","Marrakech-Banlieue","1943-01-01","1956-03-02"
"COM","95313","0","SKHOUR DES REHAMNA","Skhour-des-Rehamna","Skhour-des-Rehamna","1943-01-01","1956-03-02"
"COM","95314","0","EL KELAA DES SRARHNA","El-Kelaa-des-Srarhna","El-Kelaa-des-Srarhna","1943-01-01","1956-03-02"
"COM","95315","0","SIDI RAHHAL","Sidi-Rahhal","Sidi-Rahhal","1943-01-01","1956-03-02"
"COM","95316","0","AMISMIZ","Amismiz","Amismiz","1943-01-01","1956-03-02"
"COM","95317","0","IMI N TANOUTE","Imi-N’Tanoute","Imi-N’Tanoute","1943-01-01","1956-03-02"
"COM","95318","0","CHICHAOUA","Chichaoua","Chichaoua","1943-01-01","1956-03-02"
"COM","95322","0","SAFI","Safi","Safi","1943-01-01","1956-03-02"
"COM","95323","0","CHEMAIA","Chemaïa","Chemaïa","1943-01-01","1956-03-02"
"COM","95332","0","MOGADOR","Mogador","Mogador","1943-01-01","1956-03-02"
"COM","95333","0","TAMANAR","Tamanar","Tamanar","1943-01-01","1956-03-02"
"COM","95341","0","AZILAL","Azilal","Azilal","1943-01-01","1956-03-02"
"COM","95342","0","OUAOUIZARHT","Ouaouizarht","Ouaouizarht","1943-01-01","1956-03-02"
"COM","95343","0","AIT MEHAMMED","Aït-Mehammed","Aït-Mehammed","1943-01-01","1956-03-02"
"COM","95351","0","AIT OURIR","Aït-Ourir","Aït-Ourir","1943-01-01","1956-03-02"
"COM","95352","0","DEMNATE","Demnate","Demnate","1943-01-01","1956-03-02"
"COM","95371","0","OUARZAZATE","Ouarzazate","Ouarzazate","1943-01-01","1956-03-02"
"COM","95372","0","SJOURA DES AHL EL OUSTE","Sjoura-des-Ahl-el-Ouste","Sjoura-des-Ahl-el-Ouste","1943-01-01","1956-03-02"
"COM","95373","0","TALIOUINE","Taliouine","Taliouine","1943-01-01","1956-03-02"
"COM","95375","0","TAZENAKHT","Tazenakht","Tazenakht","1943-01-01","1956-03-02"
"COM","95380","0","DADES TODRHA","Dadès-Todrha","Dadès-Todrha","1943-01-01","1956-03-02"
"COM","95381","0","BOUMAINE DU DADES","Boumaine-du-Dadès","Boumaine-du-Dadès","1943-01-01","1956-03-02"
"COM","95382","0","EL KELAA DES MGOUNA","El-Kelaa-des-Mgouna","El-Kelaa-des-Mgouna","1943-01-01","1956-03-02"
"COM","95383","0","SEMIR","Semir","Semir","1943-01-01","1956-03-02"
"COM","95384","0","TINERHIR","Tinerhir","Tinerhir","1943-01-01","1956-03-02"
"COM","95391","0","ZAGORA","Zagora","Zagora","1943-01-01","1956-03-02"
"COM","95392","0","AGDZ","Agdz","Agdz","1943-01-01","1956-03-02"
"COM","95393","0","TAGOUNITE","Tagounite","Tagounite","1943-01-01","1956-03-02"
"COM","95394","0","TAZZARINE DES AIT ATTA","Tazzarine-des-Aït-Atta","Tazzarine-des-Aït-Atta","1943-01-01","1956-03-02"
"COM","95401","0","MEKNES","Meknès","Meknès","1943-01-01","1956-03-02"
"COM","95410","0","MEKNES BANLIEUE","Meknès-Banlieue","Meknès-Banlieue","1943-01-01","1956-03-02"
"COM","95421","0","EL HAJEB","El-Hajeb","El-Hajeb","1943-01-01","1956-03-02"
"COM","95422","0","IFRANE","Ifrane","Ifrane","1943-01-01","1956-03-02"
"COM","95431","0","AZROU","Azrou","Azrou","1943-01-01","1956-03-02"
"COM","95432","0","AIN LEUH","Aïn-Leuh","Aïn-Leuh","1943-01-01","1956-03-02"
"COM","95433","0","EL HAMMAN","El-Hamman","El-Hamman","1943-01-01","1956-03-02"
"COM","95441","0","MIDELT","Midelt","Midelt","1943-01-01","1956-03-02"
"COM","95442","0","ITZER","Itzer","Itzer","1943-01-01","1956-03-02"
"COM","95443","0","TOUNFITE","Tounfite","Tounfite","1943-01-01","1956-03-02"
"COM","95451","0","KHENIFRA","Khénifra","Khénifra","1943-01-01","1956-03-02"
"COM","95452","0","MOULAY BOUAZZA","Moulay-Bouâzza","Moulay-Bouâzza","1943-01-01","1956-03-02"
"COM","95453","0","EL KBAB","El-Kbab","El-Kbab","1943-01-01","1956-03-02"
"COM","95454","0","ARHBALA","Arhbala","Arhbala","1943-01-01","1956-03-02"
"COM","95456","0","EL KSIBA","El-Ksiba","El-Ksiba","1943-01-01","1956-03-02"
"COM","95460","0","TAFILALET","Tafilalet","Tafilalet","1943-01-01","1956-03-02"
"COM","95461","0","KSAR ES SOUK","Ksar-Es-Souk","Ksar-Es-Souk","1943-01-01","1956-03-02"
"COM","95470","0","AIT MORRHAD","Aït-Morrhad","Aït-Morrhad","1943-01-01","1956-03-02"
"COM","95471","0","GOULMINA","Goulmina","Goulmina","1943-01-01","1956-03-02"
"COM","95472","0","ASSOUL","Assoul","Assoul","1943-01-01","1956-03-02"
"COM","95473","0","IMILCHIL","Imilchil","Imilchil","1943-01-01","1956-03-02"
"COM","95474","0","RICH","Rich","Rich","1943-01-01","1956-03-02"
"COM","95479","0","TINEJDAD","Tinejdad","Tinejdad","1943-01-01","1956-03-02"
"COM","95481","0","ERFOUD","Erfoud","Erfoud","1943-01-01","1956-03-02"
"COM","95482","0","RISSANI","Rissani","Rissani","1943-01-01","1956-03-02"
"COM","95484","0","ALNIF","Alnif","Alnif","1943-01-01","1956-03-02"
"COM","95491","0","BOUDENIB","Boudenib","Boudenib","1943-01-01","1956-03-02"
"COM","95492","0","TALSINNT","Talsinnt","Talsinnt","1943-01-01","1956-03-02"
"COM","95501","1","OUJDA","Oujda","Oujda","1943-01-01","1956-03-02"
"COM","95512","0","EL AIOUN","El-Aïoun","El-Aïoun","1943-01-01","1956-03-02"
"COM","95513","0","BERGUENT","Berguent","Berguent","1943-01-01","1956-03-02"
"COM","95521","0","BERKANE","Berkane","Berkane","1943-01-01","1956-03-02"
"COM","95522","0","MARTIMPREY DU KISS","Martimprey-du-Kiss","Martimprey-du-Kiss","1943-01-01","1956-03-02"
"COM","95531","0","FIGUIG","Figuig","Figuig","1943-01-01","1956-03-02"
"COM","95532","0","TENDRARA","Tendrara","Tendrara","1943-01-01","1956-03-02"
"COM","95541","0","TAOURIRT","Taourirt","Taourirt","1943-01-01","1956-03-02"
"COM","95542","0","DEBDOU","Debdou","Debdou","1943-01-01","1956-03-02"
"COM","95601","0","RABAT","Rabat","Rabat","1943-01-01","1956-03-02"
"COM","95610","0","RABAT BANLIEUE","Rabat-Banlieue","Rabat-Banlieue","1943-01-01","1956-03-02"
"COM","95622","0","SALE","Salé","Salé","1943-01-01","1956-03-02"
"COM","95631","0","MARCHAND","Marchand","Marchand","1943-01-01","1956-03-02"
"COM","95640","0","ZEMMOUR","Zemmour","Zemmour","1943-01-01","1956-03-02"
"COM","95641","0","KHEMISSET","Khémisset","Khémisset","1943-01-01","1956-03-02"
"COM","95642","0","OULMES","Oulmès","Oulmès","1943-01-01","1956-03-02"
"COM","95643","0","TEDDERS","Tedders","Tedders","1943-01-01","1956-03-02"
"COM","95652","0","OUEZZANE","Ouezzane","Ouezzane","1943-01-01","1956-03-02"
"COM","95653","0","ZOUMI","Zoumi","Zoumi","1943-01-01","1956-03-02"
"COM","95654","0","ARBAOUA","Arbaoua","Arbaoua","1943-01-01","1956-03-02"
"COM","95655","0","TEROUAL","Teroual","Teroual","1943-01-01","1956-03-02"
"COM","95661","0","PORT LYAUTEY","Port-Lyautey","Port-Lyautey","1943-01-01","1956-03-02"
"COM","95681","0","PETITJEAN","Petitjean","Petitjean","1943-01-01","1956-03-02"
"COM","95691","0","SOUK EL ARBA DU RHARB","Souk-el-Arba-du-Rharb","Souk-el-Arba-du-Rharb","1943-01-01","1956-03-02"
"COM","95692","0","MECHRA BEL KSIRI","Mechrâ-Bel-Ksiri","Mechrâ-Bel-Ksiri","1943-01-01","1956-03-02"
"COM","95693","0","HAD KOOURT","Had-Koourt","Had-Koourt","1943-01-01","1956-03-02"
"COM","95711","1","AGADIR","Agadir","Agadir","1943-01-01","1956-03-02"
"COM","95720","1","AGADIR BANLIEUE A INNEZGANE","Agadir-Banlieue à Innezgane","Agadir-Banlieue à Innezgane","1943-01-01","1956-03-02"
"COM","95730","0","IDA OU TANANE A IMMOUZER DES IDA OU TANANE","Ida-ou-Tanane à Immouzer-des-Ida-ou-Tanane","Ida-ou-Tanane à Immouzer-des-Ida-ou-Tanane","1943-01-01","1956-03-02"
"COM","95741","0","TAROUDANNT","Taroudannt","Taroudannt","1943-01-01","1956-03-02"
"COM","95742","0","TAFINEGOULT","Tafinegoult","Tafinegoult","1943-01-01","1956-03-02"
"COM","95743","0","IRHEM","Irhem","Irhem","1943-01-01","1956-03-02"
"COM","95744","0","ARGANA","Argana","Argana","1943-01-01","1956-03-02"
"COM","95750","0","CONFINS","Confins","Confins","1943-01-01","1956-03-02"
"COM","95761","0","TIZNIT","Tiznit","Tiznit","1943-01-01","1956-03-02"
"COM","95770","0","BOU IZAKARN","Bou-Izakarn","Bou-Izakarn","1943-01-01","1956-03-02"
"COM","95771","0","ANEZI","Anezi","Anezi","1943-01-01","1956-03-02"
"COM","95772","0","TAFRAOUTE","Tafraoute","Tafraoute","1943-01-01","1956-03-02"
"COM","95780","0","GOULIMINE","Goulimine","Goulimine","1943-01-01","1956-03-02"
"COM","95790","0","AKKA","Akka","Akka","1943-01-01","1956-03-02"
"COM","95791","0","TATA","Tata","Tata","1943-01-01","1956-03-02"
"COM","96111","0","BIZERTE","Bizerte","Bizerte","1943-01-01","1956-03-20"
"COM","96113","0","FERRYVILLE","Ferryville","Ferryville","1943-01-01","1956-03-20"
"COM","96114","0","LA GALITE","La Galite","La Galite","1943-01-01","1956-03-20"
"COM","96115","0","MATEUR","Mateur","Mateur","1943-01-01","1956-03-20"
"COM","96117","0","PORTO FARINA","Porto-Farina","Porto-Farina","1943-01-01","1956-03-20"
"COM","96118","0","SEDJENANE","Sedjenane","Sedjenane","1943-01-01","1956-03-20"
"COM","96119","0","ZANA UTIQUE","Zana-Utique","Zana-Utique","1943-01-01","1956-03-20"
"COM","96131","0","BEJA","Béja","Béja","1943-01-01","1956-03-20"
"COM","96133","0","DJEBEL ABIOD","Djebel-Abiod","Djebel-Abiod","1943-01-01","1956-03-20"
"COM","96141","0","TABARKA","Tabarka","Tabarka","1943-01-01","1956-03-20"
"COM","96142","0","AIN DRAHAM","Aïn-Draham","Aïn-Draham","1943-01-01","1956-03-20"
"COM","96144","0","BEN METIR","Ben-Métir","Ben-Métir","1943-01-01","1956-03-20"
"COM","96151","0","SOUK EL ARBA","Souk-El-Arba","Souk-El-Arba","1943-01-01","1956-03-20"
